rank,layer,head,max_edge_score,is_canonical
1,9,9,0.146087,False
2,10,7,0.088763,True
3,9,6,0.069238,False
4,10,0,0.068375,False
5,11,2,0.064191,False
6,10,10,0.051976,False
7,11,10,0.048323,False
8,0,4,0.047830,False
9,0,3,0.036119,False
10,0,1,0.035364,False
11,0,5,0.032300,False
12,10,1,0.031927,False
13,9,0,0.029484,False
14,9,8,0.022584,False
15,10,11,0.021566,False
16,7,10,0.021476,False
17,7,2,0.021082,False
18,10,6,0.020821,False
19,5,1,0.019375,False
20,8,6,0.019294,False
21,11,9,0.015514,False
22,11,11,0.013903,False
23,10,2,0.011514,False
24,8,8,0.010125,False
25,8,11,0.010058,False
26,11,6,0.009310,False
27,8,1,0.008683,False
28,6,9,0.008264,False
29,8,10,0.006641,False
30,9,7,0.006253,False
31,7,1,0.005569,False
32,0,8,0.005234,False
33,5,0,0.005022,False
34,1,6,0.004741,False
35,9,5,0.004400,False
36,7,7,0.004322,False
37,10,3,0.004211,False
38,0,10,0.004207,False
39,0,6,0.004197,False
40,11,3,0.004010,False
41,9,3,0.003857,False
42,5,5,0.003833,False
43,8,7,0.003645,False
44,9,2,0.003532,False
45,11,0,0.003505,False
46,5,11,0.003452,False
47,6,7,0.003302,False
48,1,5,0.003236,False
49,5,10,0.003138,False
50,11,5,0.002932,False
51,6,1,0.002732,False
52,8,3,0.002414,False
53,11,8,0.002411,False
54,6,4,0.002327,False
55,6,6,0.002223,False
56,5,8,0.002088,False
57,10,4,0.002078,False
58,7,6,0.001880,False
59,6,3,0.001792,False
60,1,11,0.001668,False
61,0,7,0.001441,False
62,8,9,0.001430,False
63,2,2,0.001420,False
64,8,5,0.001391,False
65,3,0,0.001378,False
66,1,7,0.001365,False
67,4,4,0.001339,False
68,1,0,0.001291,False
69,6,10,0.001281,False
70,7,5,0.001251,False
71,4,9,0.001243,False
72,4,11,0.001240,False
73,3,7,0.001231,False
74,11,1,0.001219,False
75,2,9,0.001205,False
76,6,2,0.001163,False
77,5,4,0.001106,False
78,2,1,0.001081,False
79,5,7,0.001071,False
80,0,9,0.001045,False
81,1,9,0.000993,False
82,9,4,0.000959,False
83,8,2,0.000941,False
84,9,1,0.000926,False
85,3,5,0.000916,False
86,7,11,0.000900,False
87,6,8,0.000884,False
88,7,9,0.000872,False
89,1,8,0.000872,False
90,6,11,0.000870,False
91,3,10,0.000860,False
92,0,0,0.000857,False
93,7,3,0.000836,False
94,4,10,0.000822,False
95,3,3,0.000795,False
96,4,8,0.000791,False
97,11,4,0.000785,False
98,4,6,0.000780,False
99,7,0,0.000719,False
100,3,11,0.000683,False
101,3,6,0.000680,False
102,7,8,0.000668,False
103,9,11,0.000624,False
104,2,8,0.000620,False
105,3,9,0.000620,False
106,6,0,0.000618,False
107,2,0,0.000584,False
108,0,11,0.000583,False
109,2,11,0.000576,False
110,4,7,0.000565,False
111,5,9,0.000553,False
112,9,10,0.000552,False
113,6,5,0.000550,False
114,4,3,0.000549,False
115,1,10,0.000528,False
116,5,2,0.000520,False
117,4,0,0.000519,False
118,5,3,0.000508,False
119,2,7,0.000462,False
120,3,4,0.000442,False
121,3,8,0.000442,False
122,11,7,0.000406,False
123,3,2,0.000406,False
124,1,3,0.000386,False
125,1,4,0.000379,False
126,4,5,0.000378,False
127,8,4,0.000362,False
128,8,0,0.000346,False
129,1,1,0.000344,False
130,2,5,0.000341,False
131,2,6,0.000337,False
132,5,6,0.000321,False
133,2,4,0.000304,False
134,10,5,0.000299,False
135,0,2,0.000297,False
136,4,2,0.000293,False
137,2,3,0.000275,False
138,2,10,0.000265,False
139,10,9,0.000241,False
140,3,1,0.000236,False
141,10,8,0.000200,False
142,7,4,0.000182,False
143,4,1,0.000171,False
144,1,2,0.000126,False
