rank,layer,head,max_edge_score,is_canonical
1,10,7,0.097912,False
2,7,10,0.061521,True
3,9,1,0.054433,True
4,8,11,0.053830,True
5,6,9,0.047288,True
6,5,1,0.031511,False
7,0,1,0.028467,True
8,10,2,0.026695,False
9,6,4,0.022843,False
10,8,8,0.021521,False
11,5,5,0.018229,True
12,0,5,0.017617,True
13,0,10,0.016700,False
14,0,3,0.015942,True
15,5,0,0.015454,False
16,4,8,0.013611,False
17,2,11,0.012707,False
18,3,3,0.010923,False
19,8,1,0.010439,False
20,7,11,0.009938,False
21,3,6,0.008924,False
22,9,6,0.008848,False
23,5,2,0.008729,False
24,7,4,0.008427,False
25,8,6,0.008188,False
26,9,5,0.007530,False
27,3,10,0.007260,False
28,6,8,0.006916,False
29,0,7,0.006690,False
30,4,6,0.006650,False
31,5,9,0.006430,False
32,4,11,0.006231,False
33,6,1,0.006140,True
34,6,5,0.005992,False
35,5,8,0.005938,False
36,7,6,0.005775,False
37,3,7,0.005721,False
38,6,11,0.005706,False
39,8,10,0.005637,False
40,10,4,0.005600,False
41,0,4,0.005592,False
42,5,4,0.005451,False
43,1,11,0.005258,False
44,1,8,0.005245,False
45,7,7,0.005042,False
46,1,9,0.004986,False
47,4,7,0.004943,False
48,1,3,0.004922,False
49,1,5,0.004902,False
50,8,9,0.004752,False
51,2,9,0.004421,False
52,5,7,0.004400,False
53,7,2,0.004268,False
54,1,7,0.004100,False
55,2,5,0.004037,False
56,5,10,0.003986,False
57,1,0,0.003792,False
58,1,1,0.003691,False
59,6,6,0.003646,False
60,4,4,0.003622,False
61,4,5,0.003553,False
62,4,3,0.003498,False
63,8,7,0.003491,False
64,2,1,0.003398,False
65,3,11,0.003388,False
66,3,1,0.003386,False
67,4,10,0.003382,False
68,2,0,0.003150,False
69,11,2,0.003135,False
70,2,4,0.003033,False
71,0,9,0.003007,False
72,4,0,0.002997,False
73,8,5,0.002901,False
74,6,7,0.002863,False
75,1,4,0.002856,False
76,5,11,0.002793,False
77,3,8,0.002685,False
78,3,2,0.002620,False
79,4,1,0.002598,False
80,9,9,0.002577,False
81,11,8,0.002522,False
82,0,11,0.002379,False
83,0,8,0.002300,False
84,7,5,0.002197,False
85,3,4,0.002177,False
86,2,10,0.002122,False
87,0,0,0.002105,False
88,2,3,0.002035,False
89,1,6,0.002030,False
90,3,0,0.002019,False
91,3,5,0.001993,False
92,5,6,0.001944,False
93,3,9,0.001939,False
94,9,7,0.001921,False
95,2,7,0.001899,False
96,7,3,0.001893,False
97,8,0,0.001845,False
98,11,9,0.001829,False
99,7,8,0.001693,False
100,2,6,0.001644,False
101,11,0,0.001637,False
102,10,3,0.001584,False
103,0,6,0.001581,False
104,10,0,0.001577,False
105,1,10,0.001568,False
106,7,9,0.001517,False
107,7,0,0.001510,False
108,11,10,0.001453,False
109,2,8,0.001437,False
110,9,3,0.001389,False
111,0,2,0.001373,False
112,8,2,0.001329,False
113,6,0,0.001268,False
114,10,1,0.001179,False
115,10,10,0.001168,False
116,6,3,0.001114,False
117,4,9,0.001028,False
118,9,10,0.000935,False
119,6,10,0.000924,False
120,4,2,0.000905,False
121,8,3,0.000900,False
122,1,2,0.000892,False
123,9,8,0.000880,False
124,2,2,0.000773,False
125,8,4,0.000712,False
126,7,1,0.000710,False
127,11,4,0.000675,False
128,5,3,0.000660,False
129,9,0,0.000575,False
130,11,1,0.000530,False
131,6,2,0.000453,False
132,9,11,0.000442,False
133,10,8,0.000409,False
134,11,7,0.000363,False
135,9,4,0.000327,False
136,11,6,0.000323,False
137,11,5,0.000316,False
138,10,6,0.000304,False
139,11,11,0.000257,False
140,11,3,0.000186,False
141,9,2,0.000163,False
142,10,9,0.000085,False
143,10,11,0.000038,False
144,10,5,0.000034,False
