rank,layer,head,max_edge_score,is_canonical
1,0,1,0.152801,False
2,4,11,0.132627,False
3,5,1,0.132627,True
4,4,7,0.096479,False
5,11,11,0.091016,False
6,7,2,0.083487,True
7,10,7,0.082733,False
8,8,1,0.069800,False
9,11,8,0.065302,False
10,10,0,0.064551,False
11,9,6,0.064176,False
12,7,10,0.061813,True
13,10,1,0.057895,False
14,6,9,0.056372,True
15,9,9,0.050184,False
16,0,3,0.044670,False
17,0,10,0.042060,False
18,6,6,0.041029,False
19,7,6,0.039937,False
20,10,6,0.035749,False
21,3,7,0.035711,False
22,3,10,0.033318,False
23,1,0,0.032581,False
24,5,8,0.032020,False
25,0,5,0.031151,False
26,2,2,0.029896,False
27,1,1,0.029848,False
28,11,10,0.029574,False
29,10,11,0.029095,False
30,2,9,0.029072,False
31,8,5,0.028626,False
32,8,6,0.027824,False
33,2,11,0.026081,False
34,8,10,0.025927,False
35,3,2,0.025041,False
36,10,3,0.024764,False
37,8,9,0.024651,False
38,9,1,0.023887,False
39,8,2,0.023033,False
40,3,0,0.022096,False
41,5,0,0.022001,False
42,6,8,0.021329,False
43,5,5,0.020683,True
44,7,7,0.020050,False
45,9,3,0.020016,False
46,5,9,0.019426,False
47,9,0,0.019256,False
48,9,11,0.019118,False
49,4,3,0.017759,False
50,11,3,0.017729,False
51,4,6,0.017681,False
52,6,3,0.017529,False
53,0,7,0.017331,False
54,11,4,0.017106,False
55,2,5,0.016784,False
56,6,10,0.015909,False
57,2,8,0.015854,False
58,2,3,0.015783,False
59,11,0,0.015669,False
60,3,3,0.015282,False
61,1,11,0.015200,False
62,6,7,0.014903,False
63,3,6,0.014783,False
64,10,10,0.014764,False
65,7,3,0.014518,False
66,5,6,0.014194,False
67,2,10,0.013411,False
68,0,4,0.013109,False
69,11,5,0.013049,False
70,6,5,0.013025,False
71,3,8,0.012541,False
72,11,9,0.012501,False
73,9,2,0.011811,False
74,0,8,0.011340,False
75,8,0,0.011089,False
76,11,6,0.010901,False
77,7,11,0.010477,False
78,7,1,0.010360,False
79,0,11,0.010275,False
80,4,4,0.010043,False
81,8,8,0.009999,False
82,3,4,0.009760,False
83,3,5,0.009369,False
84,4,9,0.008537,False
85,1,4,0.008533,False
86,6,4,0.008175,False
87,0,9,0.007912,False
88,7,8,0.007784,False
89,4,0,0.007677,False
90,8,7,0.007660,False
91,7,9,0.007623,False
92,6,2,0.007402,False
93,3,11,0.007385,False
94,0,6,0.007329,False
95,6,0,0.007272,False
96,1,3,0.007203,False
97,1,5,0.007070,False
98,11,2,0.007049,False
99,7,0,0.006690,False
100,9,8,0.006557,False
101,5,3,0.006506,False
102,4,1,0.006456,False
103,1,7,0.006223,False
104,5,11,0.005911,False
105,2,0,0.005743,False
106,4,5,0.005663,False
107,11,7,0.005601,False
108,1,9,0.005417,False
109,10,8,0.005374,False
110,4,8,0.005368,False
111,9,7,0.005363,False
112,5,2,0.005330,False
113,0,0,0.005328,False
114,2,1,0.005204,False
115,1,8,0.005127,False
116,1,6,0.004839,False
117,11,1,0.004754,False
118,5,7,0.003973,False
119,10,5,0.003954,False
120,10,9,0.003815,False
121,10,4,0.003701,False
122,8,3,0.003603,False
123,1,10,0.003551,False
124,2,4,0.003541,False
125,8,11,0.003540,False
126,9,10,0.003508,False
127,3,1,0.003484,False
128,2,6,0.003406,False
129,5,10,0.003398,False
130,2,7,0.003314,False
131,4,2,0.003156,False
132,7,4,0.003141,False
133,10,2,0.003065,False
134,7,5,0.003064,False
135,0,2,0.003032,False
136,6,11,0.003012,False
137,6,1,0.002922,False
138,9,5,0.002803,False
139,5,4,0.002765,False
140,1,2,0.002686,False
141,3,9,0.002202,False
142,8,4,0.002059,False
143,9,4,0.001606,False
144,4,10,0.001496,False
