rank,layer,head,max_edge_score,is_canonical
1,9,9,0.262657,True
2,10,7,0.207792,True
3,9,6,0.122263,True
4,11,10,0.114663,True
5,10,0,0.075138,True
6,10,10,0.065761,True
7,11,2,0.055556,True
8,0,1,0.047432,True
9,10,6,0.047033,True
10,0,10,0.036977,True
11,10,1,0.036452,True
12,9,8,0.031644,False
13,3,0,0.029797,True
14,5,9,0.029797,True
15,8,10,0.029134,True
16,1,11,0.024092,False
17,10,2,0.020141,True
18,5,5,0.019476,True
19,8,6,0.019476,True
20,11,9,0.018432,True
21,7,9,0.016110,True
22,4,11,0.014616,True
23,11,11,0.012558,False
24,11,6,0.011962,False
25,9,0,0.011570,True
26,3,4,0.011568,False
27,11,3,0.011304,False
28,6,0,0.010323,False
29,9,7,0.008452,True
30,7,3,0.008121,True
31,1,5,0.007813,False
32,5,8,0.007502,True
33,0,3,0.007060,False
34,0,9,0.006152,False
35,3,7,0.005729,False
36,4,4,0.005723,False
37,4,3,0.005566,False
38,5,0,0.005559,False
39,2,9,0.005221,False
40,11,1,0.005084,False
41,8,3,0.004918,False
42,3,6,0.004895,False
43,1,0,0.004879,False
44,6,6,0.004712,False
45,9,2,0.004617,False
46,9,4,0.004500,False
47,5,10,0.004436,False
48,0,5,0.004316,False
49,4,7,0.004161,False
50,6,1,0.004112,False
51,9,3,0.004034,False
52,1,8,0.004020,False
53,2,11,0.003989,False
54,2,2,0.003912,True
55,8,11,0.003704,False
56,7,11,0.003448,False
57,9,5,0.003370,False
58,0,4,0.003082,False
59,11,8,0.002983,False
60,6,3,0.002923,False
61,10,11,0.002819,False
62,7,5,0.002803,False
63,3,10,0.002801,False
64,0,8,0.002682,False
65,8,5,0.002668,False
66,8,2,0.002565,False
67,6,7,0.002385,False
68,9,11,0.002365,False
69,10,9,0.002260,False
70,10,3,0.002259,False
71,4,6,0.002223,False
72,6,2,0.002070,False
73,2,7,0.002059,False
74,4,8,0.002006,False
75,7,6,0.001990,False
76,1,7,0.001983,False
77,8,8,0.001937,False
78,6,5,0.001825,False
79,3,3,0.001722,False
80,8,9,0.001714,False
81,5,4,0.001692,False
82,11,0,0.001685,False
83,1,9,0.001647,False
84,3,2,0.001617,False
85,2,4,0.001589,False
86,11,5,0.001524,False
87,2,3,0.001494,False
88,3,5,0.001478,False
89,6,11,0.001350,False
90,2,10,0.001344,False
91,5,2,0.001204,False
92,3,1,0.001185,False
93,2,0,0.001175,False
94,0,6,0.001160,False
95,5,7,0.001119,False
96,5,11,0.001115,False
97,6,10,0.001075,False
98,6,9,0.001062,True
99,6,4,0.001026,False
100,1,3,0.001004,False
101,6,8,0.000970,False
102,8,7,0.000957,False
103,3,9,0.000903,False
104,4,10,0.000889,False
105,4,5,0.000875,False
106,3,8,0.000874,False
107,1,6,0.000872,False
108,10,4,0.000867,False
109,7,7,0.000867,False
110,11,7,0.000849,False
111,3,11,0.000795,False
112,4,1,0.000791,False
113,11,4,0.000774,False
114,5,3,0.000774,False
115,1,4,0.000762,False
116,1,1,0.000757,False
117,0,7,0.000756,False
118,4,9,0.000734,False
119,4,2,0.000733,False
120,5,6,0.000713,False
121,1,10,0.000678,False
122,7,8,0.000653,False
123,0,0,0.000651,False
124,9,10,0.000638,False
125,2,1,0.000637,False
126,2,5,0.000629,False
127,0,2,0.000580,False
128,10,8,0.000564,False
129,4,0,0.000552,False
130,2,6,0.000510,False
131,0,11,0.000497,False
132,2,8,0.000468,False
133,10,5,0.000468,False
134,7,4,0.000466,False
135,8,0,0.000435,False
136,8,4,0.000432,False
137,7,0,0.000421,False
138,9,1,0.000408,False
139,1,2,0.000283,False
140,8,1,0.000245,False
141,5,1,0.000223,False
142,7,1,0.000219,False
143,7,10,0.000109,False
144,7,2,0.000087,False
