rank,layer,head,max_edge_score,is_canonical
1,10,2,0.015116,False
2,11,6,0.006036,True
3,0,1,0.005758,False
4,9,1,0.003652,False
5,8,11,0.003603,False
6,8,8,0.003344,False
7,9,9,0.002953,False
8,10,3,0.002836,False
9,1,8,0.002465,False
10,11,10,0.001966,False
11,0,3,0.001950,False
12,0,10,0.001438,False
13,0,5,0.001438,False
14,10,7,0.001345,False
15,1,5,0.001297,False
16,11,2,0.001231,False
17,11,4,0.001207,False
18,8,10,0.001168,False
19,2,11,0.001126,False
20,6,7,0.001047,False
21,6,1,0.001032,False
22,4,6,0.001021,False
23,9,2,0.000984,False
24,4,0,0.000912,False
25,3,7,0.000876,False
26,1,4,0.000844,False
27,4,11,0.000836,False
28,3,6,0.000829,False
29,7,8,0.000824,False
30,4,5,0.000816,False
31,5,2,0.000799,False
32,7,3,0.000753,False
33,4,3,0.000743,False
34,8,9,0.000737,False
35,5,6,0.000697,False
36,3,8,0.000691,False
37,11,3,0.000682,False
38,9,5,0.000665,False
39,5,10,0.000648,False
40,1,0,0.000614,False
41,10,0,0.000608,True
42,10,10,0.000600,True
43,3,11,0.000578,False
44,3,10,0.000569,False
45,0,8,0.000557,False
46,5,4,0.000534,False
47,4,7,0.000511,False
48,7,6,0.000495,False
49,2,5,0.000481,False
50,4,2,0.000480,False
51,0,6,0.000468,False
52,2,2,0.000456,False
53,0,4,0.000448,False
54,8,6,0.000444,False
55,6,5,0.000441,False
56,8,3,0.000438,False
57,6,4,0.000435,False
58,3,2,0.000421,False
59,6,8,0.000414,False
60,7,5,0.000406,False
61,6,0,0.000399,False
62,11,8,0.000396,False
63,1,11,0.000390,False
64,2,1,0.000385,False
65,2,9,0.000383,False
66,3,1,0.000377,False
67,11,1,0.000347,False
68,2,3,0.000344,False
69,11,0,0.000329,False
70,1,3,0.000325,False
71,8,2,0.000325,False
72,4,9,0.000324,False
73,7,1,0.000312,False
74,6,3,0.000306,False
75,5,7,0.000304,False
76,1,7,0.000291,False
77,11,11,0.000287,False
78,2,0,0.000284,False
79,1,1,0.000271,False
80,3,0,0.000270,False
81,6,6,0.000269,False
82,9,0,0.000265,False
83,3,9,0.000264,False
84,3,4,0.000263,False
85,2,4,0.000260,False
86,3,3,0.000250,False
87,0,7,0.000247,False
88,4,10,0.000246,False
89,0,11,0.000243,False
90,8,0,0.000242,False
91,11,7,0.000241,False
92,9,10,0.000233,False
93,10,8,0.000227,False
94,5,11,0.000223,False
95,4,4,0.000221,False
96,2,7,0.000214,False
97,8,4,0.000204,False
98,3,5,0.000197,False
99,8,7,0.000195,False
100,2,6,0.000193,False
101,4,8,0.000182,False
102,6,11,0.000174,False
103,8,1,0.000174,False
104,7,0,0.000174,False
105,4,1,0.000167,False
106,9,8,0.000163,False
107,7,4,0.000159,False
108,0,9,0.000155,False
109,1,10,0.000147,False
110,9,7,0.000145,False
111,2,10,0.000144,False
112,8,5,0.000140,False
113,1,6,0.000140,False
114,5,9,0.000139,False
115,7,10,0.000135,False
116,5,3,0.000133,False
117,0,2,0.000130,False
118,9,3,0.000130,False
119,10,11,0.000129,False
120,1,9,0.000123,False
121,10,9,0.000120,False
122,6,10,0.000115,False
123,5,8,0.000112,False
124,0,0,0.000111,False
125,10,5,0.000110,False
126,10,6,0.000104,True
127,2,8,0.000087,False
128,6,2,0.000083,False
129,1,2,0.000082,False
130,5,5,0.000069,False
131,7,9,0.000063,False
132,10,4,0.000059,False
133,10,1,0.000054,False
134,9,6,0.000049,False
135,11,5,0.000048,False
136,9,4,0.000046,False
137,7,11,0.000046,False
138,9,11,0.000043,False
139,6,9,0.000036,False
140,7,7,0.000032,False
141,5,0,0.000028,False
142,5,1,0.000028,False
143,11,9,0.000019,False
144,7,2,0.000016,False
